Date,HomeTeam,VisitorTeam,Time
"Sunday, April 2, 2017",Arizona Diamondbacks,San Francisco Giants,Start Time: 1:10 p.m. Local
"Tuesday, April 4, 2017",Milwaukee Brewers,Colorado Rockies,Start Time: 6:40 p.m. Local
"Tuesday, April 4, 2017",Los Angeles Dodgers,San Diego Padres,Start Time: 7:10 p.m. Local
"Tuesday, April 4, 2017",Oakland Athletics,Los Angeles Angels,Start Time: 7:07 p.m. Local
"Wednesday, April 5, 2017",Baltimore Orioles,Toronto Blue Jays,Start Time: 7:08 p.m. Local
"Tuesday, April 4, 2017",Houston Astros,Seattle Mariners,Start Time: 7:11 p.m. Local
"Wednesday, April 5, 2017",Boston Red Sox,Pittsburgh Pirates,Start Time: 7:10 p.m. Local
"Tuesday, April 4, 2017",Texas Rangers,Cleveland Indians,Start Time: 7:09 p.m. Local
"Tuesday, April 4, 2017",Tampa Bay Rays,New York Yankees,Start Time: 7:10 p.m. Local
"Tuesday, April 4, 2017",St. Louis Cardinals,Chicago Cubs,Start Time: 7:16 p.m. Local
"Wednesday, April 5, 2017",Arizona Diamondbacks,San Francisco Giants,Start Time: 6:40 p.m. Local
"Tuesday, April 4, 2017",Chicago White Sox,Detroit Tigers,Start Time: 1:10 p.m. Local
"Tuesday, April 4, 2017",Arizona Diamondbacks,San Francisco Giants,Start Time: 6:40 p.m. Local
"Monday, April 3, 2017",Washington Nationals,Miami Marlins,Start Time: 1:05 p.m. Local
"Monday, April 3, 2017",Texas Rangers,Cleveland Indians,Start Time: 6:10 p.m. Local
"Monday, April 3, 2017",Oakland Athletics,Los Angeles Angels,Start Time: 7:09 p.m. Local
"Thursday, May 4, 2017",Houston Astros,Texas Rangers,Start Time: 1:11 p.m. Local
"Sunday, May 28, 2017",Miami Marlins,Los Angeles Angels,Start Time: 1:13 p.m. Local
"Sunday, June 18, 2017",Pittsburgh Pirates,Chicago Cubs,Start Time: 1:36 p.m. Local
"Saturday, July 29, 2017",Chicago White Sox,Cleveland Indians,Start Time: 6:11 p.m. Local
"Saturday, July 29, 2017",Boston Red Sox,Kansas City Royals,Start Time: 7:10 p.m. Local
"Friday, July 28, 2017",Texas Rangers,Baltimore Orioles,Start Time: 7:09 p.m. Local
"Friday, July 28, 2017",Toronto Blue Jays,Los Angeles Angels,Start Time: 7:08 p.m. Local
"Sunday, July 30, 2017",Detroit Tigers,Houston Astros,Start Time: 1:10 p.m. Local
"Sunday, July 30, 2017",Boston Red Sox,Kansas City Royals,Start Time: 1:38 p.m. Local
"Saturday, July 29, 2017",Washington Nationals,Colorado Rockies,Start Time: 7:05 p.m. Local
"Sunday, July 30, 2017",Chicago White Sox,Cleveland Indians,Start Time: 1:10 p.m. Local
"Sunday, July 30, 2017",San Diego Padres,Pittsburgh Pirates,Start Time: 1:40 p.m. Local
"Sunday, July 30, 2017",Philadelphia Phillies,Atlanta Braves,Start Time: 1:38 p.m. Local
"Sunday, July 30, 2017",New York Yankees,Tampa Bay Rays,Start Time: 1:09 p.m. Local
"Sunday, July 30, 2017",Oakland Athletics,Minnesota Twins,Start Time: 1:07 p.m. Local
"Tuesday, August 1, 2017",Los Angeles Angels,Philadelphia Phillies,Start Time: 7:08 p.m. Local
"Tuesday, August 1, 2017",Atlanta Braves,Los Angeles Dodgers,Start Time: 7:35 p.m. Local
"Monday, July 31, 2017",Texas Rangers,Seattle Mariners,Start Time: 7:07 p.m. Local
"Monday, July 31, 2017",Philadelphia Phillies,Atlanta Braves,Start Time: 12:36 p.m. Local
"Wednesday, August 2, 2017",Miami Marlins,Washington Nationals,Start Time: 7:10 p.m. Local
"Saturday, August 5, 2017",Cincinnati Reds,St. Louis Cardinals,Start Time: 7:10 p.m. Local
"Wednesday, August 2, 2017",Chicago Cubs,Arizona Diamondbacks,Start Time: 7:05 p.m. Local
"Saturday, August 5, 2017",Chicago Cubs,Washington Nationals,Start Time: 1:22 p.m. Local
